Gene Symbol	RefSeq Genomic Accession	RefSeq Genomic GI	RefSeq mRNA Accession	RefSeq ncRNA Accession	RefSeq Nucleotide GI	RefSeq Protein Accession	RefSeq Protein GI	
TGVEG_200240-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_200250-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_200270-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_208030-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_209180-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_209920A-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_209920B-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_222980-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_232400-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_235200-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_235390-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_249150-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_254430-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_286150-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_310580-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_361090-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_439610-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_439620-t26_1-p1	-	-	-	-	-	-	-	
cgd3_520-t26_1-p1	-	-	-	-	-	-	-	
PBANKA_0417800	-	-	-	-	-	-	-	
PCHAS_0418700	-	-	-	-	-	-	-	
PCYB_071140	NC_020400	457869933	XM_004221511	-	457869275	XP_004221559	457869276	
PF3D7_0903600.1	-	-	-	-	-	-	-	
PF3D7_0903600.2	-	-	-	-	-	-	-	
PKNH_0701300	-	-	-	-	-	-	-	
PRCDC_0901700.1	-	-	-	-	-	-	-	
PRCDC_0901700.2	-	-	-	-	-	-	-	
PVX_098625	NC_009912	166093244	XM_001614525	-	156097083	XP_001614575	156097084	
PYYM_0420600	-	-	-	-	-	-	-	
PmUG01_07015100.1-p1	-	-	-	-	-	-	-	
TGVEG_217360-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_244470-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_260000-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_289100-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_290620-t26_1-p1	-	-	-	-	-	-	-	
cgd4_4330-t26_1-p1	-	-	-	-	-	-	-	
cgd6_1690-t26_1-p1	-	-	-	-	-	-	-	
cgd6_2860-t26_1-p1	-	-	-	-	-	-	-	
BBM_III00525	NC_027207	829088320	XM_012793262	-	829084602	XP_012648716	829084603	
PBANKA_0704400	-	-	-	-	-	-	-	
PCHAS_0933600	-	-	-	-	-	-	-	
PCYB_051500	NC_020398	457868787	XM_004221031	-	457868313	XP_004221079	457868314	
PF3D7_0301300	-	-	-	-	-	-	-	
PF3D7_0826200	-	-	-	-	-	-	-	
PF3D7_1401300	-	-	-	-	-	-	-	
PKNH_1320400	-	-	-	-	-	-	-	
PRCDC_0300400	-	-	-	-	-	-	-	
PRCDC_0825500	-	-	-	-	-	-	-	
PRCDC_1400600	-	-	-	-	-	-	-	
PVX_089050	NC_009910	166093242	XM_001614851	-	156097736	XP_001614901	156097737	
PYYM_0704600	-	-	-	-	-	-	-	
PmUG01_05019800.1-p1	-	-	-	-	-	-	-	
TGVEG_261940-t26_1-p1	-	-	-	-	-	-	-	
TP02_0652-t26_1-p1	-	-	-	-	-	-	-	
cgd5_3960-t26_1-p1	-	-	-	-	-	-	-	
