Gene Symbol	EC Number	
PCHAS_0626700	-	
PCHAS_0626900	-	
PCHAS_0627100	-	
PCHAS_0627200	-	
PCHAS_0700200	-	
PCHAS_0700300	-	
PCHAS_0700500	-	
PCHAS_0700900	-	
PCHAS_0701000	-	
PCHAS_0701300	-	
PCHAS_0701400	-	
PCHAS_0701600	-	
PCHAS_0731600	-	
PCHAS_0731800	-	
PCHAS_0731900	-	
PCHAS_0732000	-	
PCHAS_0800005	-	
PCHAS_0800011	-	
PCHAS_0800015	-	
PCHAS_0800051	-	
PCHAS_0837600	-	
PCHAS_0838000	-	
PCHAS_0900001	-	
PCHAS_0900005	-	
PCHAS_0900011	-	
PCHAS_0900015	-	
PCHAS_0900041	-	
PCHAS_0900045	-	
PCHAS_0938200	-	
PCHAS_0938341	-	
PCHAS_1000300	-	
PCHAS_1000400	-	
PCHAS_1042300	-	
PCHAS_1042500	-	
PCHAS_1042600	-	
PCHAS_1042700	-	
PCHAS_1100200	-	
PCHAS_1146400	-	
PCHAS_1147300	-	
PCHAS_1147400	-	
PCHAS_1147500	-	
PCHAS_1147521	-	
PCHAS_1200200	-	
PCHAS_1200300	-	
PCHAS_1200400	-	
PCHAS_1200500	-	
PCHAS_1200600	-	
PCHAS_1200700	-	
PCHAS_1247400	-	
PCHAS_1247500	-	
PCHAS_1300101	-	
PCHAS_1300201	-	
PCHAS_1300301	-	
PCHAS_1300401	-	
PCHAS_1371200	-	
PCHAS_1371300	-	
PCHAS_1371400	-	
PCHAS_1371500	-	
PCHAS_1371600	-	
PCHAS_1371700	-	
PCHAS_1371900	-	
PCHAS_1400200	-	
PCHAS_1400300	-	
PCHAS_1400400	-	
PCHAS_1400700	-	
PCHAS_1400900	-	
PCHAS_1401300	-	
PCHAS_1468400	-	
PCHAS_1468500	-	
PCHAS_1468700	-	
PYYM_0000100	-	
PYYM_0000200	-	
PYYM_0000300	-	
PYYM_0000400	-	
PYYM_0000500	-	
PYYM_0000600	-	
PYYM_0000700	-	
PYYM_0000800	-	
PYYM_0000900	-	
PYYM_0001000	-	
PYYM_0001100	-	
PYYM_0001200	-	
PYYM_0001300	-	
PYYM_0001400	-	
PYYM_0001500	-	
PYYM_0001600	-	
PYYM_0001700	-	
PYYM_0001800	-	
PYYM_0001900	-	
PYYM_0002000	-	
PYYM_0002100	-	
PYYM_0002200	-	
PYYM_0002300	-	
PYYM_0002400	-	
PYYM_0002500	-	
PYYM_0002600	-	
PYYM_0002700	-	
PYYM_0002800	-	
PYYM_0002900	-	
PYYM_0003000	-	
PYYM_0003100	-	
PYYM_0003400	-	
PYYM_0003500	-	
PYYM_0003600	-	
PYYM_0003700	-	
PYYM_0003800	-	
PYYM_0003900	-	
PYYM_0004000	-	
PYYM_0004100	-	
PYYM_0004200	-	
PYYM_0004300	-	
PYYM_0004400	-	
PYYM_0004500	-	
PYYM_0004600	-	
PYYM_0004700	-	
PYYM_0004800	-	
PYYM_0004900	-	
PYYM_0005000	-	
PYYM_0005100	-	
PYYM_0005200	-	
PYYM_0005300	-	
PYYM_0005400	-	
PYYM_0005600	-	
PYYM_0005800	-	
PYYM_0005900	-	
PYYM_0006000	-	
PYYM_0006100	-	
PYYM_0006300	-	
PYYM_0006400	-	
PYYM_0006500	-	
PYYM_0006600	-	
PYYM_0006800	-	
PYYM_0006900	-	
PYYM_0007000	-	
PYYM_0007100	-	
PYYM_0007200	-	
PYYM_0007300	-	
PYYM_0007400	-	
PYYM_0007500	-	
PYYM_0007600	-	
PYYM_0007700	-	
PYYM_0007800	-	
PYYM_0007900	-	
PYYM_0008000	-	
PYYM_0008100	-	
PYYM_0008200	-	
PYYM_0008400	-	
PYYM_0008500	-	
PYYM_0008700	-	
PYYM_0009000	-	
PYYM_0009200	-	
PYYM_0009300	-	
PYYM_0009400	-	
PYYM_0009500	-	
PYYM_0009600	-	
PYYM_0009700	-	
PYYM_0009800	-	
PYYM_0009900	-	
PYYM_0010000	-	
PYYM_0010100	-	
PYYM_0010200	-	
PYYM_0010300	-	
PYYM_0010400	-	
PYYM_0010500	-	
PYYM_0010700	-	
PYYM_0010800	-	
PYYM_0010900	-	
PYYM_0011000	-	
PYYM_0011100	-	
PYYM_0011200	-	
PYYM_0011300	-	
PYYM_0011400	-	
PYYM_0011500	-	
PYYM_0011600	-	
PYYM_0011700	-	
PYYM_0011800	-	
PYYM_0011900	-	
PYYM_0012000	-	
PYYM_0012100	-	
PYYM_0012200	-	
PYYM_0012300	-	
PYYM_0012400	-	
PYYM_0012500	-	
PYYM_0012600	-	
PYYM_0012700	-	
PYYM_0012800	-	
PYYM_0012900	-	
PYYM_0013000	-	
PYYM_0013100	-	
PYYM_0013300	-	
PYYM_0013400	-	
PYYM_0013500	-	
PYYM_0013600	-	
PYYM_0013700	-	
PYYM_0013800	-	
PYYM_0013900	-	
PYYM_0014000	-	
PYYM_0014100	-	
PYYM_0014200	-	
PYYM_0014300	-	
PYYM_0014400	-	
PYYM_0014500	-	
PYYM_0014600	-	
PYYM_0014700	-	
PYYM_0014800	-	
PYYM_0014900	-	
PYYM_0015000	-	
PYYM_0015100	-	
PYYM_0015400	-	
PYYM_0015500	-	
PYYM_0015700	-	
PYYM_0015800	-	
PYYM_0015900	-	
PYYM_0016600	-	
PYYM_0016700	-	
PYYM_0016800	-	
PYYM_0016900	-	
PYYM_0017000	-	
PYYM_0017100	-	
PYYM_0017200	-	
PYYM_0017300	-	
PYYM_0017400	-	
PYYM_0017500	-	
PYYM_0017700	-	
PYYM_0017800	-	
PYYM_0017900	-	
PYYM_0018000	-	
PYYM_0018100	-	
PYYM_0018200	-	
PYYM_0018300	-	
PYYM_0018400	-	
PYYM_0018500	-	
PYYM_0018600	-	
PYYM_0018700	-	
PYYM_0018800	-	
PYYM_0018900	-	
PYYM_0019000	-	
PYYM_0019100	-	
PYYM_0019600	-	
PYYM_0019700	-	
PYYM_0019800	-	
PYYM_0020200	-	
PYYM_0020400	-	
PYYM_0020500	-	
PYYM_0020700	-	
